COLLECTION|'LE HOBBIT'
COLLECTION|'NARNIA'
COLLECTION|'50 NUANCE DE GREY'
COLLECTION|'TWILIGHT'
COLLECTION|'TINTIN'
COLLECTION|'WALKING DEAD'

ADHERENT|'LAURET', 'CYRIL', '30-05-1995', '1 AVENUE DU TALSADOUMA','LAURETCYRIL95@GMAIL.COM','0668396776','20-01-2017'
ADHERENT|'WOLBER', 'HERRICK', '01-10-1991', '1 AVENUE DU GAME','WOLBERERICK@YAHOO.FR','0785581871','20-01-2017'
ADHERENT|'DWAYNE', 'JOHNSON', '02-05-1972', '3 AVENUE HOLLYWOOD','DWAYNEJ@GMAIL.COM','0683902746','20-01-2017'
ADHERENT|'ALEXANDRA', 'DADDARIO', '16-03-1986', '69 AVENUE FRANKLIN ROOSEVELT','ALEXANDRADADD@OUTLOOK.FR','0767874532','20-01-2017'
ADHERENT|'GRACE', 'BOUKOU', '03-04-1991', '6 RUE DE ANTIBES','BK@GMAIL.COM','0689093412','20-01-2017'
ADHERENT|'SMITH', 'WILL', '15-09-1968', '4 AVENUE DES STARS','WILLSMITH@HOLLYWOOD.FR','0634526770','21-01-2017'
ADHERENT|'WELLING', 'TOM', '26-04-1977', '2 RUE DE KRYPTON','TOMKRPT@OUTLOOK.FR','0698998877','21-01-2017'
ADHERENT|'JORDAN', 'MICHAEL', '17-02-1963', '23 RUE DES ETOILES','MICHAELJORDAN@NIKE.COM','0623232323','21-01-2017'
ADHERENT|'OBAMA', 'BARACK', '04-08-1961', 'MAISON BLANCHE','BARACKOBAMA@NAVY.COM','0788120703','21-01-2017'
ADHERENT|'OBAMA', 'MICHELLE', '17-01-1964', 'MAISON BLANCHE','FIRSTLADY@NAVY.COM','0776679908','21-01-2017'
ADHERENT|'MANDELA', 'NELSON', '18-07-1918', '1 AVENUE DE LA PAIX','NELSONMANDELA@GMAIL.FR','0654342318','21-01-2017'

<<<<<<< Updated upstream
LIVRES|1,1,1,'HARRY POTTER A L''ECOLE DES SORCIERS','20-01-2017',15
LIVRES|1,1,1,'HARRY POTTER ET LA CHAMBRE DES SECRETS','20-01-2017',15
LIVRES|1,1,1,'HARRY POTTER ET LE PRISONNIER D''ASKABAN','20-01-2017',20
LIVRES|1,1,1,'HARRY POTTER ET LA COUPE DE FEU','20-01-2017',20
LIVRES|1,1,1,'HARRY POTTER ET L''ORDRE DU PHOENIX','20-01-2017',25
LIVRES|1,1,1,'HARRY POTTER ET LE PRINCE DE SANG MELEE','20-01-2017',25
LIVRES|1,1,1,'HARRY POTTER ET LES RELIQUES DE LA MORT','20-01-2017',25
LIVRES|2,1,2,'LE SEIGNEUR DES ANNEAUX -  LA COMMUNAUTE DE L''ANNEAUX','20-01-2017',25
LIVRES|2,1,2,'LE SEIGNEUR DES ANNEAUX -  LES DEUX TOURS','20-01-2017',35
LIVRES|2,1,2,'LE SEIGNEUR DES ANNEAUX -  LE RETOUR DU ROI ','20-01-2017',35
LIVRES|4,1'FRANCOIS HOLLANDE -  ITINERAIRE SECRETS ','20-01-2017',5

CATEGORIE|1,'FANTASTIQUE'
CATEGORIE|2,'POLICIER'
CATEGORIE|3,'DRAME'
CATEGORIE|4,'ROMANCE'
CATEGORIE|5,'SCIENCE_FICTION'
CATEGORIE|6,'HORREUR'
CATEGORIE|7,'ACTION'
CATEGORIE|8,'THRILLER'
CATEGORIE|9,'COMEDIE'
CATEGORIE|10,'AVENTURE'
CATEGORIE|11,'BD'

PRET|2,1,'24-01-2017','10-02-2017','27-01-2017'
PRET|4,2,'24-01-2017','10-02-2017','12-02-2017'
PRET|4,3,'24-01-2017','10-02-2017','10-02-2017'
PRET|9,4,'24-01-2017','10-02-2017','23-01-2018'
PRET|1,5,'26-01-2017','14-02-2017','10-02-2017'
PRET|6,6,'04-03-2017','30-03-2017','16-05-2017'
PRET|8,7,'28-01-2017','16-02-2017','08-02-2017'
PRET|3,8,'29-01-2017','17-02-2017','16-02-2017'
PRET|5,9,'04-03-2017','14-03-2017','10-03-2017'
PRET|7,10,'03-03-2017','13-03-2017','07-03-2017'

=======
LIVRES|'1','1','1','HARRY POTTER A L''ECOLE DES SORCIERS','20-01-2017','15'
>>>>>>> Stashed changes
